file,line,column,code,message
content/exercises/amscc/1e8b.tex,1,1,missing-question,Le contenu doit contenir au moins une \question{...}.
content/exercises/amscc/1e8b.tex,36,7,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Justifier que f est de classe \mathcal C 2 sur \mathbb R +,* \times \mathbb R . Calculer l""."
content/exercises/amscc/2Aui.tex,33,5,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""renewcommand \arraystretch 1.3 |c|c|c|c|c| \hline Y \backslash X 0 1 2 3 \\ \hline 0 \frac""."
content/exercises/amscc/2pit.tex,23,7,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""En déduire une expression explicite de (a n) n\geq 2 puis l'expression générale de la solu""."
content/exercises/amscc/2qL9.tex,30,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/2qL9.tex,63,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/2qL9.tex,163,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/3fL9.tex,30,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/3fL9.tex,40,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/3fL9.tex,64,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/3fL9.tex,87,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/3fL9.tex,117,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/3fL9.tex,165,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/3zDK.tex,72,1,single-item-enumerate,Un exercice avec une seule question ne doit pas contenir un environnement enumerate avec un seul \item.
content/exercises/amscc/4G7c.tex,17,1,single-item-enumerate,Un exercice avec une seule question ne doit pas contenir un environnement enumerate avec un seul \item.
content/exercises/amscc/4a3b.tex,29,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/4a3b.tex,33,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/4a3b.tex,37,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/4g7B.tex,30,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/4g7B.tex,37,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/4g7B.tex,53,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5NS7.tex,75,9,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""En déduire \frac \partial F \partial a , \frac \partial F \partial b en utilisant \frac \p""."
content/exercises/amscc/5dA2.tex,26,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5dA2.tex,42,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5dA2.tex,60,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5dA2.tex,64,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5dK8.tex,31,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5dK8.tex,108,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5dK8.tex,130,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5dK8.tex,168,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/5hoU.tex,14,1,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Soit D = \ (x,y) \in \R 2 \, , \, x > 0 \, , \, x+y \leq 0\ un domaine de \R 2 .""."
content/exercises/amscc/5hoU.tex,16,8,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Proposer une représentation graphique de D .""."
content/exercises/amscc/5hoU.tex,25,9,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""D est-il ouvert dans \R 2 ? justifier rapidement.""."
content/exercises/amscc/5hoU.tex,28,8,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Vérifier que le point (0,-1) n'appartient pas à D . Déterminer une suite de points (x n,y ""."
content/exercises/amscc/5hoU.tex,30,9,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""D est-il fermé dans \R 2 ? justifier rapidement.""."
content/exercises/amscc/64Uj.tex,31,8,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Justifier l'existence et l'unicité globale d'une solution y de classe \mathcal C 1 .""."
content/exercises/amscc/64Uj.tex,55,11,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Proposer un algorithme qui donne une approximation de y(1) pour h = 10 -6 en utilisant le ""."
content/exercises/amscc/64pg.tex,24,9,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Vérifier que \overline X = \frac 1 n \sum i=1 n X i est un estimateur de q sans biais et c""."
content/exercises/amscc/6Aqe.tex,15,5,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""On considère le plan \R 2 muni d'un repère orthonormé (O,\overrightarrow OI ,\overrightarr""."
content/exercises/amscc/6TSn.tex,15,1,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Un gardien de nuit doit ouvrir une des portes à contrôler durant sa tournée dans le noir. ""."
content/exercises/amscc/6TSn.tex,17,8,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Méthode A : Il pose les 10 clés devant lui et les essaye l'une après l'autre dans l'ordre ""."
content/exercises/amscc/6TSn.tex,21,1,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""On appelle X A (respectivement X B ) la variable aléatoire, définie sur l'espace probabili""."
content/exercises/amscc/6TSn.tex,23,1,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""Rappel : soit a \in ]0 ; 1[ , alors \displaystyle \sum k=0 n a k = \frac 1 - a n+1 1 - a e""."
content/exercises/amscc/6YqE.tex,232,10,untyped-content-text,"Texte dans \contenu{...} hors \texte{}, \question{}, \indication{} ou \reponse{}: ""textbf [Bonus]""."
content/exercises/amscc/6bT4.tex,29,1,empty-indication,La commande \indication{...} ne doit pas être vide.
content/exercises/amscc/6bT4.tex,33,1,empty-indication,La commande \indication{...} ne doit pas être vide.
